complexity,loss,equation,score,sympy_format,lambda_format
1,0.0072416456514793,0.15427520502044018,0.0,0.15427520502044018,PySRFunction(X=>0.15427520502044018)
4,0.0040650391561181,inv(5.421698796375817 - x1),0.192475035014077,1/(5.421698796375817 - x1),PySRFunction(X=>1/(5.421698796375817 - x1))
5,0.0022586418942786,(x1 * 0.06004766740641168) + 0.19891704743668592,0.5876596745375411,x1*0.06004766740641168 + 0.19891704743668592,PySRFunction(X=>x1*0.06004766740641168 + 0.19891704743668592)
7,0.0021499904300147,exp(-0.6195582952960353 - exp(x1 * -0.3513401311279454)),0.024650154971753227,exp(-exp(x1*(-0.3513401311279454)) - 0.6195582952960353),PySRFunction(X=>exp(-exp(x1*(-0.3513401311279454)) - 0.6195582952960353))
9,0.0019088906319705,sqrt(exp((x0 * -0.23579701061648128) + x1)) * 0.21084213778398503,0.059470569307430686,0.21084213778398503*sqrt(exp(-0.23579701061648128*x0 + x1)),PySRFunction(X=>0.21084213778398503*sqrt(exp(-0.23579701061648128*x0 + x1)))
11,0.0017448722197684,sqrt(exp(x1 + ((x2 + x0) * -0.21172737810146233))) * 0.20447031969353233,0.0449204629397019,0.20447031969353233*sqrt(exp(-0.21172737810146233*x0 + x1 - 0.21172737810146233*x2)),PySRFunction(X=>0.20447031969353233*sqrt(exp(-0.21172737810146233*x0 + x1 - 0.21172737810146233*x2)))
13,0.0014305660060399,sqrt(exp(x1 + (((x2 + x0) - x3) * -0.21172737810146233))) * 0.20447031969353233,0.09930557604980444,0.20447031969353233*sqrt(exp(-0.21172737810146233*x0 + x1 - 0.21172737810146233*x2 + 0.21172737810146233*x3)),PySRFunction(X=>0.20447031969353233*sqrt(exp(-0.21172737810146233*x0 + x1 - 0.21172737810146233*x2 + 0.21172737810146233*x3)))
