Complexity,Loss,Equation
1,0.5381722431600201,"1.743667125538574"
5,0.53707413078953,"(x3 * -0.019143493614719342) - -1.7868891656646573"
6,0.5367091317807837,"inv((x3 * 0.011573733452095338) - -0.5443722331384095)"
7,0.5363102467631302,"((x1 - x0) * 0.02224868519953853) - -1.8115742096348577"
8,0.5293152318650143,"(exp(x1 * x1) * -0.0010890148147615593) - -1.7868891656646573"
10,0.5292584386496342,"((exp(x1 * x1) * -0.0010890148147615593) - -1.7868891656646573) + -0.009571746807359671"
11,0.529067169349777,"inv((exp(-0.559631799898477 + (x2 * x2)) * 0.0006080239050017265) - -0.559631799898477)"
