Complexity,Loss,Equation
1,0.00724164565147936,"0.15427520502044018"
4,0.004065039156118142,"inv(5.421698796375817 - x1)"
5,0.0022586418942786473,"(x1 * 0.06004766740641168) + 0.19891704743668592"
7,0.00214999043001479,"exp(-0.6195582952960353 - exp(x1 * -0.3513401311279454))"
9,0.0019088906319705353,"sqrt(exp((x0 * -0.23579701061648128) + x1)) * 0.21084213778398503"
11,0.0017448722197684016,"sqrt(exp(x1 + ((x2 + x0) * -0.21172737810146233))) * 0.20447031969353233"
13,0.0014305660060399466,"sqrt(exp(x1 + (((x2 + x0) - x3) * -0.21172737810146233))) * 0.20447031969353233"
